model,roc_auc_mean,roc_auc_std,brier_mean,brier_std,log_loss_mean,log_loss_std,balanced_accuracy_mean,balanced_accuracy_std,n_features
grouped_mlp,0.8535004744639452,0.016709516857815934,0.08406988129380151,0.004831929757138336,0.27874378969585073,0.01349935289525847,0.7025390944106653,0.024383490778151183,15
interaction_mlp,0.8504621166493049,0.01554192007110707,0.08554526591748671,0.004316879579171705,0.2851633828968936,0.015580639681419912,0.6928535057170893,0.014828133873468,18
attention_mlp,0.8512856913402841,0.011466654640261956,0.08409514837751608,0.002560896722505217,0.2788655913433077,0.007762746452467966,0.6960115731908733,0.01183427761232329,18
