feature,coef_mean,coef_std
policies_gap,0.274566305403936,0.0055255715449777365
technologies_gap,0.20912095508766132,0.012726179762517048
votes_share,0.16574736397410436,0.009354293781162294
population_share,0.10593787338517753,0.005388217874985799
minor_allies_share,0.08459567760662653,0.009051151789114472
cities_share,0.06454038997846898,0.00785803790159554
religion_percentage,0.031122964408576315,0.006208970238471901
production_share,0.01479909473883157,0.0038359764316060834
tourism_share,0.01222893532546995,0.0019387825096296072
culture_share,0.008574249730516103,0.0016190090684803198
military_share,0.008403751959852991,0.0017294647674812444
science_share,0.0064144974777052876,0.000863664963508043
food_share,0.004943734124379263,0.0014194170907501494
faith_share,0.0035058105648802023,0.0003942908346068205
gold_share,0.0026055328864817958,0.0003245661039041201
happiness_percentage,0.0020303197901856973,0.0004395415562430645
turn_progress,0.0008625435571460981,9.742082219868305e-05
