feature,coef_mean,coef_std
turn_progress,0.1319066124424551,0.009173413552215588
population_share,0.13070336092411394,0.006254291268928599
technologies_gap,0.09394937485176855,0.012803069415425968
votes_share,0.08683591837241776,0.0029217256194036777
policies_gap,0.07588633097881776,0.005178624867150497
tourism_share,0.0749727937094633,0.0059976731200309455
religion_percentage,0.06934974485379423,0.010861252317582483
minor_allies_share,0.06343249840605651,0.010728918333632093
military_share,0.053836675760384846,0.007149015746661001
happiness_percentage,0.05245364091480472,0.004835675961862394
production_share,0.04574563973560336,0.005226304955362431
gold_share,0.04128349333371598,0.010176530855654934
