feature,coef_mean,coef_std,robust_se_mean,robust_se_std,z_stat_mean,z_stat_std,n_folds_significant
population_share,0.922657290402273,0.04779396888770618,0.08448330949165987,0.003664791330610396,10.925880606963467,0.4660109949704376,5
policies_gap,-0.7453367707130442,0.049006062864291905,0.10390060799765558,0.007656385575513556,-7.200815786844795,0.6637285792175216,5
technologies_gap,-0.620293873550645,0.017555018312359432,0.0774558724566536,0.003005356008715937,-8.014354432387552,0.27400758936250635,5
minor_allies_share,0.3253181656246441,0.0301184973388402,0.039928935148681406,0.0010519928507869538,8.140392171721647,0.6092700979627382,5
votes_share,0.21327610916527276,0.033631950565977106,0.0460439751742454,0.0011094939799062274,4.646279399620246,0.8083496677202824,5
production_share,0.17691400715553046,0.01107063361006957,0.0377517303708906,0.0004613652856263586,4.686234872462698,0.2900018203052247,5
religion_percentage,0.164771728145799,0.04898585388616998,0.0694171088097493,0.0014097128483518259,2.3712649681633495,0.6860719344457373,4
happiness_percentage,0.14002169028860256,0.012835559158791384,0.031677327871871976,0.0009159514113935777,4.420423434450063,0.3836188765653839,5
military_share,-0.03949455387292601,0.023275238653113504,0.034942422249592264,0.0009518447072729775,-1.1390036320540005,0.691445751632971,1
gold_share,0.029989585990449225,0.032252806199222474,0.024633167620088,0.018810785761478113,0.9746556289150078,0.6765328883686489,0
tourism_share,0.0017985300355234893,0.017279417205374948,0.02940932626715373,0.0007026083295816759,0.05498690367505745,0.5945643535542596,0
